"","rural_A","urban_A","rural_B","urban_B","total"
"car/taxi",70,116,61,192,439
"light goods",14,12,5,27,58
"heavy goods",27,8,3,12,50
"motorcycle",1,1,0,1,3
"bus",2,3,0,3,8
"cyclist",0,1,0,2,3
"car/taxi",11,64,13,74,162
"light goods",1,1,0,8,10
"heavy goods",7,2,1,2,12
"motorcycle",0,0,0,1,1
"bus",0,1,0,1,2
"cyclist",0,1,0,1,2
"NOV",1730,589,1612,671,4602
"other or unknown",122,74,91,42,329
"pedestrian",1,11,3,9,24
"NOV",0,0,0,0,0
"other or unknown",14,31,7,29,81
"pedestrian",0,0,0,0,0
